epoch,step,train_loss
2,49,0.0038296766579151154
5,99,0.0024667803663760424
8,149,0.0017547088209539652
11,199,0.0016981798689812422
13,249,0.0016843900084495544
16,299,0.001783499727025628
19,349,0.0015677998308092356
22,399,0.001351825543679297
24,449,0.0015299181686714292
27,499,0.001528948312625289
30,549,0.0013591828756034374
33,599,0.0016094407765194774
36,649,0.02027967758476734
38,699,0.0020754823926836252
41,749,0.0013399790041148663
44,799,0.0016262849094346166
47,849,0.003341974224895239
49,899,0.0018644153606146574
52,949,0.0032225048635154963
55,999,0.0008020129171200097
58,1049,0.00157517462503165
61,1099,0.0009929887019097805
63,1149,0.0009448718628846109
66,1199,0.001987773459404707
69,1249,0.0010698200203478336
72,1299,0.00128008215688169
74,1349,0.00161155650857836
77,1399,0.001115603488869965
80,1449,0.02024766430258751
83,1499,0.0018600458279252052
86,1549,0.0015932376263663173
88,1599,0.0012401137501001358
91,1649,0.0006787304300814867
94,1699,0.000616791658103466
97,1749,0.0016373996622860432
99,1799,0.0019034716533496976
102,1849,0.0011569203343242407
105,1899,0.0012621552450582385
108,1949,0.0007817954174242914
111,1999,0.001112085417844355
113,2049,0.0010819563176482916
116,2099,0.0011229496449232101
119,2149,0.0012087860377505422
122,2199,0.0009182795765809715
124,2249,0.0006205560639500618
127,2299,0.0019086484098806977
130,2349,0.0014059356180951
133,2399,0.0011627549538388848
136,2449,0.001594536704942584
138,2499,0.0013295651879161596
141,2549,0.0015256364131346345
144,2599,0.0014600238064303994
147,2649,0.0016011641127988696
149,2699,0.0008317844476550817
