epoch,step,train_loss
2,49,0.003968535456806421
5,99,0.024125000461935997
8,149,0.0015606323722749949
11,199,0.0023452341556549072
13,249,0.0023058108054101467
16,299,0.001503610867075622
19,349,0.002252088626846671
22,399,0.00221351464278996
24,449,0.0012217337498441339
27,499,0.001187169924378395
30,549,0.0015062118181958795
33,599,0.0017876572674140334
36,649,0.0010236678645014763
38,699,0.001860273303464055
41,749,0.02098773419857025
44,799,0.0013983105309307575
47,849,0.021744007244706154
49,899,0.0014482758706435561
52,949,0.0017796838656067848
55,999,0.0013515690807253122
58,1049,0.001481493003666401
61,1099,0.0018120832974091172
63,1149,0.001607333542779088
66,1199,0.0006326435250230134
69,1249,0.0014099384425207973
72,1299,0.0020675878040492535
74,1349,0.0014465857530012727
77,1399,0.0016470649279654026
80,1449,0.00236508809030056
83,1499,0.0012813886860385537
86,1549,0.0014767958782613277
88,1599,0.001731037744320929
91,1649,0.001421003951691091
94,1699,0.0014350144192576408
97,1749,0.0023188977502286434
99,1799,0.0013420695904642344
102,1849,0.0014781203353777528
105,1899,0.0011926528532058
108,1949,0.0023527145385742188
111,1999,0.001348587335087359
113,2049,0.0008998390985652804
116,2099,0.0009854339295998216
119,2149,0.001542002079077065
122,2199,0.0011772142024710774
124,2249,0.0018418896943330765
127,2299,0.001028149388730526
130,2349,0.0012291489401832223
133,2399,0.0015202162321656942
136,2449,0.0009096828289330006
138,2499,0.001656106673181057
141,2549,0.0010481328936293721
144,2599,0.001946548349224031
147,2649,0.0009003751911222935
149,2699,0.0013976586051285267
