epoch,step,train_loss
2,49,0.005359549541026354
5,99,0.002272479934617877
8,149,0.0011366226244717836
11,199,0.0013432612176984549
13,249,0.021676789969205856
16,299,0.002841465175151825
19,349,0.0014387107221409678
22,399,0.0015368594322353601
24,449,0.0017521991394460201
27,499,0.0017841026419773698
30,549,0.0018205756787210703
33,599,0.0009788440074771643
36,649,0.0015242177760228515
38,699,0.0014652106910943985
41,749,0.0014694794081151485
44,799,0.002491998951882124
47,849,0.0016756841214373708
49,899,0.0019450627733021975
52,949,0.0022557545453310013
55,999,0.0021405192092061043
58,1049,0.0012415681267157197
61,1099,0.0025028737727552652
63,1149,0.0022413244005292654
66,1199,0.0023212959058582783
69,1249,0.0015164809301495552
72,1299,0.001641781534999609
74,1349,0.0023558763787150383
77,1399,0.001636310713365674
80,1449,0.0008380281506106257
83,1499,0.0018773870542645454
86,1549,0.0013333649840205908
88,1599,0.001280419179238379
91,1649,0.00212868326343596
94,1699,0.0014287747908383608
97,1749,0.0009781931294128299
99,1799,0.001153451856225729
102,1849,0.0012649756390601397
105,1899,0.0009037565323524177
108,1949,0.001355344196781516
111,1999,0.0008302684291265905
113,2049,0.0009075441630557179
116,2099,0.0014617156703025103
119,2149,0.0006716217612847686
122,2199,0.0009217940969392657
124,2249,0.001300028176046908
127,2299,0.0007917387993074954
130,2349,0.0008367314003407955
133,2399,0.00226794951595366
136,2449,0.0007729752687737346
138,2499,0.0013836348662152886
141,2549,0.0010992034804075956
144,2599,0.0009803324937820435
147,2649,0.0007129267905838788
149,2699,0.001114178216084838
